sex,recency,history,mens_product_purchase,womens_product_purchase,area_classification,newbie,channel,segment,visit,conversion,spend
男性,6,32908,1,1,地方,1,ウェブ,送付なし,0,0,0
男性,9,67583,1,0,地方,1,ウェブ,送付あり,0,0,0
女性,9,67507,1,1,地方,1,スマートフォン,送付あり,0,0,0
男性,2,10164,0,1,都会,0,ウェブ,送付あり,1,0,0
女性,4,24142,0,1,地方,1,複数,送付なし,0,0,0
男性,3,5813,1,0,都会,1,ウェブ,送付なし,0,0,0
男性,5,2999,1,0,郊外,0,スマートフォン,送付あり,1,0,0
男性,9,11235,1,0,地方,0,ウェブ,送付あり,1,0,0
女性,11,21904,1,1,郊外,0,スマートフォン,送付あり,1,0,0
男性,5,82842,1,0,郊外,1,複数,送付あり,0,0,0
男性,9,2999,0,1,郊外,1,スマートフォン,送付なし,0,0,0
女性,11,18232,1,0,郊外,0,スマートフォン,送付あり,1,0,0
女性,2,11840,1,0,郊外,0,ウェブ,送付あり,1,0,0
女性,2,2999,0,1,都会,1,スマートフォン,送付なし,0,0,0
男性,4,7823,1,0,郊外,0,ウェブ,送付なし,0,0,0
男性,6,13987,0,1,地方,1,ウェブ,送付あり,0,0,0
男性,12,11539,0,1,郊外,0,スマートフォン,送付あり,1,0,0
女性,6,16297,0,1,郊外,0,ウェブ,送付あり,1,0,0
女性,7,43573,0,1,都会,1,ウェブ,送付なし,0,0,0
女性,2,20335,1,0,地方,0,ウェブ,送付なし,0,0,0
男性,9,33424,1,0,都会,0,ウェブ,送付あり,1,0,0
男性,6,12801,0,1,都会,0,ウェブ,送付あり,1,0,0
女性,9,2999,1,0,郊外,1,スマートフォン,送付あり,0,0,0
男性,1,51452,0,1,郊外,1,ウェブ,送付あり,0,0,0
女性,4,76647,1,1,都会,1,複数,送付あり,0,0,0
男性,7,52042,0,1,郊外,1,ウェブ,送付あり,0,0,0
女性,11,23697,1,1,都会,1,スマートフォン,送付あり,0,0,0
男性,3,9923,1,0,地方,0,ウェブ,送付あり,1,0,0
女性,2,49202,1,0,郊外,0,スマートフォン,送付なし,0,0,0
男性,1,4832,0,1,都会,0,ウェブ,送付なし,1,0,0
男性,10,2999,1,0,郊外,0,スマートフォン,送付なし,0,0,0
女性,2,39133,1,0,郊外,0,ウェブ,送付なし,1,0,0
男性,1,72970,1,1,郊外,1,ウェブ,送付あり,0,0,0
男性,3,20330,0,1,郊外,0,ウェブ,送付なし,1,0,0
女性,9,18543,1,0,都会,0,ウェブ,送付あり,1,0,0
女性,7,2999,0,1,都会,1,スマートフォン,送付あり,1,0,0
男性,9,7862,1,0,都会,0,ウェブ,送付あり,1,0,0
女性,12,15006,0,1,郊外,0,スマートフォン,送付なし,0,0,0
女性,6,4266,1,0,郊外,0,ウェブ,送付なし,0,0,0
女性,3,54929,1,0,郊外,1,複数,送付なし,0,0,0
男性,9,50683,1,0,地方,1,複数,送付あり,0,0,0
男性,10,11540,1,0,都会,0,スマートフォン,送付あり,1,0,0
女性,6,4007,1,0,郊外,1,スマートフォン,送付あり,0,0,0
女性,11,41721,0,1,都会,0,スマートフォン,送付なし,1,0,0
男性,1,25991,0,1,郊外,1,ウェブ,送付なし,1,0,0
男性,11,5381,1,0,都会,1,スマートフォン,送付なし,0,0,0
女性,9,15415,0,1,郊外,0,ウェブ,送付あり,1,0,0
男性,2,27880,1,0,地方,0,ウェブ,送付あり,1,0,0
女性,2,42874,1,0,地方,0,スマートフォン,送付あり,1,0,0
男性,11,22809,0,1,郊外,1,ウェブ,送付なし,0,0,0
女性,1,64058,0,1,都会,1,スマートフォン,送付あり,1,0,0
女性,4,19411,1,0,都会,0,スマートフォン,送付なし,1,0,0
男性,7,8449,0,1,都会,1,ウェブ,送付なし,1,0,0
男性,7,23514,0,1,都会,1,スマートフォン,送付あり,1,0,0
女性,2,2999,0,1,郊外,0,スマートフォン,送付あり,1,0,0
女性,7,27232,1,0,郊外,1,ウェブ,送付あり,1,0,0
女性,2,9533,0,1,郊外,0,ウェブ,送付なし,0,0,0
女性,5,49426,1,1,郊外,1,スマートフォン,送付あり,0,0,0
男性,2,80907,1,0,都会,1,スマートフォン,送付あり,0,0,0
男性,3,10161,0,1,郊外,1,スマートフォン,送付なし,0,0,0
女性,8,5264,0,1,郊外,1,ウェブ,送付なし,0,0,0
女性,6,46629,1,0,都会,1,複数,送付あり,0,0,0
男性,3,10085,1,0,都会,1,スマートフォン,送付あり,1,0,0
男性,3,139757,1,0,郊外,1,複数,送付あり,0,0,0
男性,2,77058,0,1,郊外,1,スマートフォン,送付あり,0,0,0
女性,3,197387,1,0,郊外,1,複数,送付なし,1,0,0
女性,3,13351,1,0,都会,0,ウェブ,送付あり,1,0,0
女性,8,3152,0,1,郊外,0,ウェブ,送付あり,1,0,0
女性,11,18925,0,1,都会,1,スマートフォン,送付なし,0,0,0
男性,8,6614,1,0,郊外,1,スマートフォン,送付なし,1,0,0
女性,11,14604,0,1,郊外,1,スマートフォン,送付あり,0,0,0
女性,12,2999,0,1,都会,1,ウェブ,送付なし,0,0,0
男性,9,117242,1,1,郊外,1,ウェブ,送付あり,0,0,0
女性,5,24434,0,1,都会,1,ウェブ,送付あり,1,0,0
女性,9,15101,1,0,郊外,0,ウェブ,送付なし,0,0,0
男性,11,3543,1,0,都会,1,スマートフォン,送付あり,0,0,0
男性,3,31360,0,1,郊外,0,スマートフォン,送付なし,1,0,0
男性,1,11727,0,1,地方,0,スマートフォン,送付あり,1,0,0
女性,5,2999,0,1,郊外,0,ウェブ,送付なし,0,0,0
女性,3,68320,1,1,地方,1,複数,送付なし,1,0,0
女性,1,11007,0,1,都会,0,ウェブ,送付あり,1,0,0
男性,2,2999,0,1,都会,0,ウェブ,送付あり,1,0,0
男性,11,16004,1,0,地方,0,ウェブ,送付あり,1,0,0
女性,1,41868,0,1,郊外,0,ウェブ,送付なし,1,0,0
女性,11,31623,1,0,都会,1,スマートフォン,送付あり,0,0,0
女性,9,32996,0,1,郊外,1,スマートフォン,送付なし,0,0,0
女性,7,18573,1,0,郊外,0,スマートフォン,送付あり,1,0,0
女性,1,61673,0,1,都会,1,ウェブ,送付あり,1,0,0
男性,3,24971,1,0,郊外,0,スマートフォン,送付なし,1,0,0
女性,2,4609,0,1,都会,0,ウェブ,送付なし,0,0,0
女性,8,4887,1,0,郊外,1,ウェブ,送付あり,0,0,0
男性,4,27024,1,0,都会,1,スマートフォン,送付なし,1,0,0
男性,9,22880,1,0,郊外,0,複数,送付あり,1,0,0
男性,9,16259,0,1,都会,0,スマートフォン,送付あり,1,0,0
女性,12,8762,1,0,都会,1,スマートフォン,送付あり,0,0,0
女性,3,2999,1,0,郊外,0,スマートフォン,送付あり,1,0,0
男性,2,2999,0,1,郊外,0,スマートフォン,送付あり,1,0,0
女性,7,22953,1,0,郊外,0,ウェブ,送付あり,1,0,0
女性,1,43993,1,1,地方,1,複数,送付なし,1,0,0
女性,2,28955,0,1,地方,0,スマートフォン,送付なし,0,0,0
男性,5,2999,0,1,郊外,1,スマートフォン,送付あり,0,0,0
男性,9,27429,1,0,郊外,0,ウェブ,送付なし,0,0,0
男性,1,29337,1,0,郊外,0,スマートフォン,送付なし,1,0,0
女性,12,2999,1,0,都会,1,スマートフォン,送付なし,0,0,0
女性,1,40709,1,0,郊外,0,ウェブ,送付なし,0,0,0
男性,1,14240,0,1,郊外,0,スマートフォン,送付なし,1,0,0
女性,1,2999,0,1,都会,1,ウェブ,送付あり,0,0,0
男性,12,28454,1,1,郊外,0,ウェブ,送付あり,1,0,0
女性,2,6020,0,1,郊外,1,ウェブ,送付なし,0,0,0
女性,4,108977,1,0,都会,1,複数,送付あり,0,0,0
男性,1,79036,1,1,都会,1,複数,送付あり,0,0,0
女性,4,3649,1,0,都会,1,ウェブ,送付なし,0,0,0
女性,12,27189,1,0,地方,0,ウェブ,送付あり,1,0,0
男性,3,3983,0,1,都会,1,スマートフォン,送付あり,1,0,0
女性,5,26999,1,1,郊外,0,スマートフォン,送付あり,1,0,0
女性,4,29261,1,0,郊外,0,複数,送付なし,1,0,0
男性,6,2999,1,0,郊外,0,ウェブ,送付なし,1,0,0
女性,9,11630,1,0,地方,1,ウェブ,送付あり,0,0,0
女性,5,2999,1,0,郊外,0,ウェブ,送付なし,1,0,0
女性,3,2999,0,1,都会,1,ウェブ,送付なし,0,0,0
女性,7,3978,0,1,郊外,0,ウェブ,送付あり,1,0,0
女性,1,72017,1,1,都会,1,スマートフォン,送付あり,1,0,0
女性,4,6908,0,1,都会,0,スマートフォン,送付あり,1,0,0
男性,1,30119,1,0,郊外,1,ウェブ,送付なし,1,0,0
女性,10,30764,0,1,都会,0,複数,送付あり,1,0,0
女性,7,48156,1,0,郊外,0,ウェブ,送付あり,1,0,0
女性,10,2999,0,1,郊外,0,ウェブ,送付なし,0,0,0
女性,5,42510,1,0,地方,1,スマートフォン,送付あり,1,0,0
女性,10,3628,1,0,都会,1,ウェブ,送付なし,0,0,0
女性,7,3242,1,0,郊外,0,スマートフォン,送付なし,0,0,0
男性,1,15093,1,0,郊外,0,ウェブ,送付なし,1,0,0
女性,1,50651,1,0,都会,1,複数,送付なし,1,0,0
女性,8,57562,1,1,都会,1,複数,送付あり,0,0,0
男性,2,14576,0,1,郊外,1,ウェブ,送付なし,0,0,0
男性,8,42800,1,0,郊外,1,複数,送付なし,1,0,0
男性,6,60439,1,1,都会,1,スマートフォン,送付なし,0,0,0
女性,8,17188,1,0,郊外,0,スマートフォン,送付なし,0,0,0
男性,7,2999,1,0,郊外,1,ウェブ,送付あり,0,0,0
女性,1,20998,1,0,郊外,0,ウェブ,送付なし,1,0,0
女性,3,16600,0,1,都会,0,ウェブ,送付なし,1,0,0
男性,8,33676,0,1,郊外,0,スマートフォン,送付あり,1,0,0
男性,4,35673,0,1,郊外,0,ウェブ,送付なし,0,0,0
女性,4,5212,1,0,都会,0,スマートフォン,送付あり,1,0,0
男性,7,40670,0,1,郊外,1,スマートフォン,送付あり,0,0,0
女性,6,27781,1,0,郊外,1,複数,送付なし,0,0,0
男性,1,18198,0,1,都会,1,ウェブ,送付あり,0,0,0
男性,5,2999,0,1,地方,1,ウェブ,送付なし,0,0,0
女性,5,2999,0,1,郊外,0,ウェブ,送付なし,0,0,0
男性,6,2999,0,1,都会,1,ウェブ,送付あり,0,0,0
女性,8,13031,1,0,郊外,1,スマートフォン,送付なし,0,0,0
男性,3,6526,1,0,都会,0,ウェブ,送付あり,1,0,0
男性,2,11556,0,1,郊外,1,ウェブ,送付なし,0,0,0
男性,8,10494,0,1,都会,0,スマートフォン,送付なし,0,0,0
男性,7,6944,1,0,地方,0,ウェブ,送付あり,1,0,0
女性,2,22489,1,1,都会,0,複数,送付なし,1,0,0
女性,5,35403,1,0,都会,0,ウェブ,送付あり,1,0,0
男性,10,15143,1,0,都会,0,ウェブ,送付なし,0,0,0
男性,11,12014,1,0,都会,0,ウェブ,送付あり,1,0,0
女性,5,29086,1,0,都会,1,ウェブ,送付なし,0,0,0
女性,11,8106,1,0,都会,0,ウェブ,送付あり,1,0,0
女性,10,5511,1,0,都会,1,ウェブ,送付あり,0,0,0
女性,1,51383,0,1,郊外,1,複数,送付あり,1,0,0
女性,4,77038,0,1,地方,1,複数,送付なし,1,0,0
男性,1,3350,1,0,郊外,0,ウェブ,送付あり,1,0,0
男性,2,5625,1,0,郊外,1,スマートフォン,送付あり,0,0,0
男性,2,109392,1,1,郊外,1,ウェブ,送付なし,0,0,0
女性,1,75280,1,1,都会,1,スマートフォン,送付なし,1,0,0
男性,2,19995,1,0,郊外,1,スマートフォン,送付なし,0,0,0
女性,9,23991,0,1,地方,0,スマートフォン,送付なし,0,0,0
男性,8,4316,0,1,都会,1,スマートフォン,送付なし,0,0,0
女性,2,41881,0,1,郊外,0,複数,送付なし,0,0,0
男性,3,6740,1,0,郊外,0,ウェブ,送付あり,1,0,0
男性,10,5425,0,1,郊外,0,ウェブ,送付あり,1,0,0
男性,7,32926,0,1,都会,0,ウェブ,送付あり,1,0,0
女性,1,2999,1,0,地方,1,スマートフォン,送付あり,1,0,0
男性,5,3952,1,0,郊外,1,スマートフォン,送付あり,0,0,0
女性,1,30758,1,0,郊外,0,複数,送付なし,0,0,0
男性,6,9232,0,1,都会,0,スマートフォン,送付あり,1,0,0
女性,10,37590,0,1,都会,0,ウェブ,送付あり,1,0,0
男性,9,2999,1,0,都会,0,ウェブ,送付あり,1,0,0
